Mortality,Average_annual_precipitation,Average_January_temperature,Average_July_temperature,Percent_of_1960_SMSA_population_aged_65_or_older,Average_household_size,school_years_completed_by_those_over_22,Percent_housing_units_sound,Populationsqmile_urbanizedareas_1960,Percent_nwhite_pop_urbanizedareas_1960,Percent_employed_in_white_collar,Percent_of_families_income3000,Relative_hydrocarbon_pollution,Relative_nitricoxides_pollution,Relative_sulphurdioxide_pollution,Annual_average_relative_humidity
-1.0,-1.0,-1.0,1.0,-0.0,-1.0,-0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,-0.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,-0.0,0.0,-0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,0.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-0.0,0.0,1.0,0.0,-0.0,-1.0,-1.0,1.0,-0.0,1.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-0.0,0.0,-0.0,-1.0,-0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,1.0,1.0,0.0,-0.0,-1.0,0.0,0.0,-0.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,1.0,1.0,-1.0,-0.0,-1.0,-1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,-1.0,-1.0
-1.0,0.0,-1.0,-1.0,-0.0,0.0,-0.0,0.0,0.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
-1.0,-1.0,-0.0,-1.0,-1.0,0.0,-0.0,1.0,0.0,-1.0,-0.0,-1.0,-1.0,0.0,0.0,-1.0
-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.0,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-0.0,-1.0,-0.0,0.0,-1.0,1.0,1.0,0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-0.0,-1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-1.0,1.0,-1.0,-0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0
-1.0,0.0,-0.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
-1.0,0.0,-0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-0.0,0.0,1.0,0.0,-0.0,-1.0,-1.0,1.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0
1.0,-1.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-1.0,1.0,-0.0,-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,1.0,-1.0,-0.0,1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,1.0,-1.0,-0.0,0.0,-0.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,-0.0,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,1.0,-1.0,1.0,1.0,-0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
1.0,-1.0,1.0,0.0,1.0,1.0,-0.0,-1.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0
-1.0,-1.0,1.0,-1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,-0.0,-1.0,-0.0,0.0,-0.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0
1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0
1.0,-1.0,1.0,-1.0,-0.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-1.0,0.0,-0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-0.0,-1.0,1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0
-1.0,1.0,-1.0,1.0,1.0,1.0,-0.0,0.0,-1.0,1.0,-0.0,0.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,-1.0,0.0,1.0,1.0,-0.0,-1.0,-1.0,0.0,-0.0,1.0,0.0,-1.0,-1.0,-1.0
-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0
1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0
1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-1.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-0.0,0.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
1.0,0.0,-1.0,1.0,-0.0,0.0,-0.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0
1.0,0.0,-0.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,-0.0,0.0,0.0,-1.0,-1.0,-1.0
1.0,0.0,-0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0
-1.0,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
1.0,1.0,-1.0,0.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0
1.0,0.0,-0.0,0.0,1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,1.0,0.0,-1.0,-1.0,0.0
1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-1.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,-1.0
-1.0,1.0,-1.0,1.0,1.0,1.0,-0.0,-1.0,0.0,0.0,-0.0,1.0,0.0,-1.0,-1.0,-1.0
1.0,0.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0
-1.0,0.0,-0.0,-1.0,-0.0,0.0,-0.0,-1.0,0.0,-1.0,-0.0,1.0,-1.0,0.0,0.0,0.0
-1.0,-1.0,-0.0,0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0
1.0,-1.0,-0.0,0.0,-0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0
1.0,-1.0,1.0,-1.0,-1.0,0.0,-0.0,0.0,0.0,-1.0,-0.0,0.0,-1.0,1.0,1.0,0.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0
1.0,-1.0,-0.0,0.0,-1.0,-1.0,-0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0
1.0,-1.0,1.0,-1.0,-0.0,0.0,-1.0,0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0
1.0,-1.0,1.0,0.0,-0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0
1.0,0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0
1.0,-1.0,1.0,-1.0,-0.0,0.0,-0.0,-1.0,0.0,0.0,-0.0,1.0,-1.0,0.0,0.0,1.0
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.0,-1.0,1.0,0.0,-0.0,1.0,0.0,1.0,1.0,0.0
1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-1.0,1.0,-1.0,-0.0,1.0,-1.0,0.0,0.0,0.0
1.0,-1.0,-0.0,-1.0,-0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0
1.0,-1.0,-0.0,1.0,-0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1.0,-1.0,-0.0,1.0,-0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0
1.0,-1.0,1.0,0.0,-1.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-1.0,0.0,1.0,1.0,0.0
-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0
1.0,-1.0,-0.0,1.0,-1.0,-1.0,-0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1.0,-1.0,1.0,0.0,-0.0,0.0,-1.0,1.0,1.0,1.0,-0.0,-1.0,0.0,0.0,0.0,0.0
1.0,-1.0,1.0,1.0,-0.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0
1.0,0.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.0,-1.0,1.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0
1.0,-1.0,1.0,0.0,-1.0,-1.0,-0.0,0.0,1.0,1.0,-0.0,0.0,1.0,1.0,1.0,0.0
1.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.0,-1.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,1.0,0.0
-1.0,0.0,1.0,-1.0,-1.0,0.0,-0.0,0.0,0.0,-1.0,-0.0,-1.0,0.0,0.0,0.0,1.0
1.0,0.0,-0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,-1.0,-0.0,1.0,-0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0
-1.0,0.0,1.0,-1.0,-1.0,0.0,-0.0,1.0,1.0,-1.0,-0.0,-1.0,0.0,0.0,0.0,1.0
1.0,1.0,-0.0,-1.0,-1.0,0.0,-0.0,0.0,0.0,-1.0,-0.0,-1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,-1.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.0,-1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0
-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0
-1.0,0.0,1.0,-1.0,-1.0,0.0,-0.0,-1.0,0.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,-0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-0.0,1.0,-1.0,-1.0,-1.0,0.0
-1.0,0.0,1.0,-1.0,-0.0,1.0,-0.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0
1.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-1.0,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0
-1.0,0.0,1.0,-1.0,-1.0,0.0,-0.0,0.0,1.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-0.0,-1.0,-1.0,0.0,-0.0,-1.0,0.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,0.0,1.0,-1.0,-0.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0
-1.0,0.0,-0.0,-1.0,-0.0,1.0,-0.0,-1.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0
-1.0,0.0,-0.0,0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0
1.0,0.0,-1.0,1.0,-0.0,-1.0,-0.0,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0
-1.0,0.0,-0.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,-0.0,0.0,0.0,-1.0,-1.0,0.0
1.0,0.0,-0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0
-1.0,0.0,-0.0,0.0,-0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
1.0,0.0,-0.0,0.0,1.0,0.0,-0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,-1.0,-1.0,1.0
1.0,0.0,-0.0,0.0,-0.0,-1.0,-0.0,-1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0
-1.0,1.0,-1.0,1.0,1.0,0.0,-0.0,-1.0,1.0,0.0,-0.0,1.0,0.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0
1.0,0.0,-1.0,1.0,-0.0,0.0,1.0,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,-1.0
1.0,0.0,-0.0,0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0
1.0,0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
1.0,0.0,-1.0,0.0,1.0,1.0,-0.0,0.0,0.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0
-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0
-1.0,0.0,1.0,-1.0,-0.0,0.0,-1.0,0.0,0.0,-1.0,-0.0,-1.0,0.0,0.0,0.0,1.0
-1.0,1.0,-0.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,0.0,0.0,0.0,0.0
-1.0,0.0,1.0,-1.0,1.0,1.0,-0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.0,0.0,1.0,-1.0,-0.0,0.0,-0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
-1.0,1.0,-0.0,0.0,1.0,1.0,-0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-1.0,0.0,-0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,0.0,-0.0,0.0,-1.0,-1.0,-0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,-1.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-1.0,-1.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,-0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,-0.0,0.0,1.0,-1.0,0.0,-1.0,-0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.0,-0.0,0.0,-0.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,0.0,-0.0,-1.0,-1.0,-1.0,-0.0,1.0,0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,0.0,-0.0,-1.0,-0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,0.0,-0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
-1.0,1.0,-1.0,0.0,-0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0
-1.0,0.0,-1.0,-1.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,0.0,-0.0,0.0,-0.0,-1.0,-1.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0
1.0,0.0,-0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
1.0,0.0,-1.0,0.0,1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0
1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,-1.0,1.0,0.0,-0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
-1.0,0.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,-0.0,0.0,1.0,1.0,-0.0,0.0,0.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0
-1.0,0.0,-0.0,0.0,-1.0,-1.0,-0.0,0.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,-1.0
-1.0,1.0,-1.0,1.0,-0.0,0.0,-0.0,0.0,1.0,-1.0,-0.0,0.0,0.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0
-1.0,1.0,-1.0,1.0,1.0,1.0,-0.0,0.0,0.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
1.0,-1.0,-0.0,-1.0,-0.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0
